MemTotal:        7660292 kB
MemFree:         7034976 kB
MemAvailable:    7199528 kB
Buffers:             688 kB
Cached:           326024 kB
SwapCached:            0 kB
Active:           177456 kB
Inactive:         237880 kB
Active(anon):      88796 kB
Inactive(anon):     8300 kB
Active(file):      88660 kB
Inactive(file):   229580 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:            136696 kB
Writeback:             0 kB
AnonPages:         94820 kB
Mapped:            23056 kB
Shmem:              8392 kB
Slab:              56752 kB
SReclaimable:      30492 kB
SUnreclaim:        26260 kB
KernelStack:        1664 kB
PageTables:         4284 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     3830144 kB
Committed_AS:     310804 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       17660 kB
VmallocChunk:   34359717432 kB
HardwareCorrupted:     0 kB
AnonHugePages:     16384 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
DirectMap4k:       51188 kB
DirectMap2M:     2570240 kB
DirectMap1G:     5242880 kB
