MemTotal:        1017104 kB
MemFree:          405084 kB
MemAvailable:     695016 kB
Buffers:            1504 kB
Cached:           364936 kB
SwapCached:            0 kB
Active:           286596 kB
Inactive:         165460 kB
Active(anon):      85792 kB
Inactive(anon):    12892 kB
Active(file):     200804 kB
Inactive(file):   152568 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:              1400 kB
Writeback:             0 kB
AnonPages:         85568 kB
Mapped:            22976 kB
Shmem:             13068 kB
Slab:             119836 kB
SReclaimable:      98364 kB
SUnreclaim:        21472 kB
KernelStack:        1952 kB
PageTables:         4760 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     2605700 kB
Committed_AS:     296648 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       26512 kB
VmallocChunk:   34359702260 kB
HardwareCorrupted:     0 kB
AnonHugePages:      8192 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
DirectMap4k:       55288 kB
DirectMap2M:      993280 kB
DirectMap1G:           0 kB
